epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,181.16,1.09696,2.55024,1.42657,0.52267,0.64536,0.58954,0.43021,1.01224,2.34032,1.51689,0.000365704,0.000365704,0.000365704
2,369.515,1.032,1.81977,1.36036,0.7027,0.72448,0.7886,0.55444,0.94802,2.04072,1.44985,0.000721464,0.000721464,0.000721464
3,534.33,1.05561,1.69869,1.38782,0.59954,0.76963,0.73654,0.44555,1.1376,2.83267,1.68319,0.00106256,0.00106256,0.00106256
4,692.062,1.0628,1.54199,1.37927,0.68502,0.7918,0.80499,0.48318,1.18123,2.03496,1.71204,0.00104501,0.00104501,0.00104501
5,847.216,1.05221,1.49309,1.36697,0.70607,0.91255,0.91435,0.65783,0.91709,1.86056,1.42196,0.00102301,0.00102301,0.00102301
6,1003.27,0.97466,1.31791,1.29962,0.82412,0.85947,0.91642,0.67514,0.86463,1.47217,1.34993,0.00100101,0.00100101,0.00100101
7,1163.52,0.97319,1.25316,1.28311,0.87189,0.85506,0.89725,0.68392,0.8689,1.24555,1.34321,0.000979013,0.000979013,0.000979013
8,1336.09,0.95038,1.1683,1.26386,0.92515,0.8859,0.94163,0.67429,0.94852,1.03147,1.37039,0.000957015,0.000957015,0.000957015
9,1515.09,0.93417,1.10654,1.26424,0.89356,0.91072,0.94808,0.72428,0.84744,1.01358,1.34272,0.000935018,0.000935018,0.000935018
10,1677.12,0.94736,1.09423,1.287,0.94332,0.91673,0.95769,0.73097,0.83326,0.98275,1.30558,0.00091302,0.00091302,0.00091302
11,1971.4,0.93493,1.01607,1.26431,0.89878,0.91392,0.93917,0.72656,0.83105,0.90596,1.3118,0.000891022,0.000891022,0.000891022
12,2311.18,0.93686,1.04471,1.26741,0.95821,0.87343,0.95632,0.72804,0.85323,0.91832,1.34294,0.000869024,0.000869024,0.000869024
13,2640.77,0.88214,0.9217,1.23305,0.9239,0.9328,0.9603,0.73807,0.81672,0.81244,1.26573,0.000847026,0.000847026,0.000847026
